"
0",b1_ch1,b1_ch2,b2_ch3,b2_ch4,b3_ch5,b3_ch6,b4_ch7,b4_ch8,rul,rul_diff,group
2003-10-22 12:06:24,0.007528,0.005833,0.009539,0.006701,0.009470,0.010432,0.004141,0.004968,-827.558889,NaN,0
2003-10-22 12:09:13,0.007091,0.005506,0.009377,0.006677,0.009814,0.010329,0.003960,0.004728,-827.511944,0.046944,0
2003-10-22 12:14:13,0.007362,0.005559,0.009378,0.006589,0.009794,0.010159,0.003932,0.004845,-827.428611,0.083333,0
2003-10-22 12:19:13,0.007162,0.005532,0.009373,0.006549,0.009525,0.010302,0.003946,0.004760,-827.345278,0.083333,0
2003-10-22 12:24:13,0.007412,0.005672,0.009128,0.006418,0.009560,0.010121,0.003744,0.004815,-827.261944,0.083333,0
2003-10-22 12:29:13,0.007588,0.005827,0.009377,0.006434,0.009935,0.010628,0.003692,0.004705,-827.178611,0.083333,0
2003-10-22 12:34:13,0.007212,0.005609,0.009127,0.006355,0.009541,0.010128,0.004828,0.004597,-827.095278,0.083333,0
2003-10-22 12:39:13,0.007456,0.005731,0.009093,0.006611,0.009897,0.010538,0.003823,0.004774,-827.011944,0.083333,0
2003-10-22 12:44:13,0.007472,0.005682,0.009126,0.006443,0.009378,0.009995,0.003801,0.004753,-826.928611,0.083333,0
2003-10-22 12:49:13,0.007426,0.005749,0.009178,0.006366,0.009499,0.010363,0.003912,0.004820,-826.845278,0.083333,0
2003-10-22 12:54:13,0.007342,0.005534,0.009154,0.006612,0.009395,0.009819,0.003825,0.004644,-826.761944,0.083333,0
2003-10-22 12:59:13,0.007284,0.005489,0.009109,0.006460,0.009711,0.010425,0.003748,0.004864,-826.678611,0.083333,0
2003-10-22 13:04:13,0.007220,0.005481,0.009166,0.006394,0.009351,0.010113,0.003891,0.004745,-826.595278,0.083333,0
2003-10-22 13:09:13,0.007246,0.005448,0.008963,0.006435,0.009656,0.010383,0.003737,0.004833,-826.511944,0.083333,0
2003-10-22 13:14:13,0.006667,0.005360,0.008924,0.006217,0.009382,0.010046,0.003701,0.004657,-826.428611,0.083333,0
2003-10-22 13:19:13,0.008405,0.007160,0.009126,0.006377,0.009478,0.010313,0.003836,0.004728,-826.345278,0.083333,0
2003-10-22 13:24:13,0.007661,0.005672,0.009602,0.006425,0.009428,0.010268,0.003848,0.004875,-826.261944,0.083333,0
2003-10-22 13:29:13,0.008078,0.005792,0.009346,0.006429,0.009716,0.010136,0.004069,0.004979,-826.178611,0.083333,0
2003-10-22 13:34:13,0.007556,0.005770,0.009372,0.006606,0.010058,0.010703,0.003962,0.004942,-826.095278,0.083333,0
2003-10-22 13:39:13,0.007702,0.005802,0.009193,0.006874,0.010082,0.010546,0.004121,0.004809,-826.011944,0.083333,0
2003-10-22 13:44:13,0.007762,0.005551,0.009104,0.006474,0.009691,0.010311,0.004000,0.004827,-825.928611,0.083333,0
2003-10-22 13:49:13,0.007886,0.005908,0.009641,0.006737,0.009309,0.010388,0.004349,0.004785,-825.845278,0.083333,0
2003-10-22 13:54:13,0.007610,0.005641,0.009527,0.006691,0.009724,0.010456,0.003956,0.004787,-825.761944,0.083333,0
2003-10-22 13:59:13,0.007926,0.005818,0.009569,0.006713,0.009515,0.010736,0.004177,0.004936,-825.678611,0.083333,0
2003-10-22 14:04:13,0.007826,0.005973,0.009656,0.006879,0.010299,0.010777,0.004126,0.004988,-825.595278,0.083333,0
2003-10-22 14:09:13,0.007791,0.005921,0.009689,0.006830,0.010023,0.010954,0.004054,0.004923,-825.511944,0.083333,0
2003-10-22 14:14:13,0.008053,0.005872,0.009492,0.006538,0.009890,0.010718,0.003956,0.004791,-825.428611,0.083333,0
2003-10-22 14:19:13,0.007484,0.005734,0.009355,0.006749,0.010368,0.010676,0.004006,0.004941,-825.345278,0.083333,0
2003-10-22 14:24:13,0.008405,0.006053,0.009608,0.006442,0.009946,0.010619,0.004118,0.004733,-825.261944,0.083333,0
2003-10-22 14:29:13,0.007744,0.005900,0.009331,0.006471,0.009509,0.010546,0.004046,0.004914,-825.178611,0.083333,0
2003-10-22 14:34:13,0.007482,0.005786,0.009414,0.006722,0.009817,0.010266,0.004065,0.005235,-825.095278,0.083333,0
2003-10-22 14:39:13,0.007595,0.005694,0.009694,0.006613,0.009813,0.010289,0.003881,0.004880,-825.011944,0.083333,0
2003-10-22 14:44:13,0.007720,0.005818,0.009606,0.006515,0.010095,0.010240,0.003901,0.004994,-824.928611,0.083333,0
2003-10-22 14:49:13,0.007983,0.005806,0.009395,0.006505,0.009786,0.010359,0.004053,0.004986,-824.845278,0.083333,0
2003-10-22 14:54:13,0.007428,0.005733,0.009433,0.006269,0.009813,0.010488,0.003997,0.004889,-824.761944,0.083333,0
2003-10-22 14:59:13,0.007520,0.005516,0.009378,0.006300,0.009143,0.010395,0.004006,0.004776,-824.678611,0.083333,0
2003-10-22 15:04:13,0.007604,0.005576,0.009788,0.006643,0.009912,0.010210,0.004007,0.005024,-824.595278,0.083333,0
2003-10-22 15:09:13,0.007679,0.005734,0.009271,0.006364,0.009510,0.010443,0.003874,0.004803,-824.511944,0.083333,0
2003-10-22 15:14:13,0.007495,0.005807,0.009332,0.006226,0.009683,0.010245,0.004145,0.004981,-824.428611,0.083333,0
2003-10-22 15:19:13,0.007411,0.005889,0.009539,0.006505,0.009750,0.010606,0.003892,0.005031,-824.345278,0.083333,0
2003-10-22 15:24:13,0.007182,0.005487,0.009192,0.006365,0.009334,0.009889,0.004046,0.004967,-824.261944,0.083333,0
2003-10-22 15:29:13,0.007693,0.005680,0.009152,0.006597,0.010105,0.011296,0.004090,0.004967,-824.178611,0.083333,0
2003-10-22 15:37:48,0.007724,0.005611,0.009429,0.006715,0.009636,0.010500,0.004212,0.004868,-824.035556,0.143056,0
2003-10-22 15:44:13,0.007354,0.005683,0.009438,0.006245,0.010127,0.010423,0.004090,0.004776,-823.928611,0.106944,0
2003-10-22 15:54:13,0.007303,0.005594,0.009409,0.006726,0.010016,0.011158,0.003847,0.004929,-823.761944,0.166667,0
2003-10-22 16:04:13,0.007633,0.005646,0.008912,0.006567,0.009642,0.010493,0.003923,0.004845,-823.595278,0.166667,0
2003-10-22 16:14:13,0.007380,0.005775,0.009279,0.006367,0.009566,0.010535,0.004029,0.004737,-823.428611,0.166667,0
2003-10-22 16:24:13,0.007484,0.005679,0.009664,0.006813,0.009989,0.010534,0.004160,0.004941,-823.261944,0.166667,0
2003-10-22 16:34:13,0.007708,0.005782,0.009613,0.006676,0.009637,0.010502,0.004405,0.005416,-823.095278,0.166667,0
2003-10-22 16:44:13,0.007467,0.005625,0.009684,0.006504,0.009298,0.010328,0.004322,0.005175,-822.928611,0.166667,0
2003-10-22 16:54:13,0.007837,0.006244,0.009493,0.006583,0.009782,0.010592,0.004331,0.005298,-822.761944,0.166667,0
2003-10-22 17:04:13,0.007984,0.006532,0.009242,0.006588,0.009722,0.010652,0.004337,0.005101,-822.595278,0.166667,0
2003-10-22 17:14:13,0.007584,0.005766,0.009484,0.006799,0.009544,0.010631,0.004382,0.005353,-822.428611,0.166667,0
2003-10-22 17:19:38,0.007447,0.005606,0.009503,0.006324,0.009747,0.010441,0.004406,0.005007,-822.338333,0.090278,0
2003-10-22 17:24:13,0.007816,0.006051,0.009496,0.006568,0.009739,0.010453,0.004354,0.005350,-822.261944,0.076389,0
2003-10-22 17:34:13,0.008000,0.006537,0.009329,0.006526,0.009842,0.010905,0.004296,0.005200,-822.095278,0.166667,0
2003-10-22 17:44:13,0.007406,0.005861,0.009084,0.006524,0.009678,0.010422,0.004507,0.005315,-821.928611,0.166667,0
2003-10-22 17:54:13,0.007614,0.005809,0.008904,0.006432,0.009662,0.010263,0.004346,0.005176,-821.761944,0.166667,0
2003-10-22 18:04:13,0.007254,0.005714,0.008941,0.006774,0.009687,0.010165,0.004602,0.005070,-821.595278,0.166667,0
2003-10-22 18:14:13,0.007001,0.005341,0.009054,0.006259,0.009286,0.010276,0.004526,0.005419,-821.428611,0.166667,0
2003-10-22 18:24:13,0.008332,0.006743,0.009429,0.006425,0.009852,0.010113,0.004424,0.005006,-821.261944,0.166667,0
2003-10-22 18:34:13,0.007132,0.005683,0.009151,0.006303,0.009935,0.010606,0.004354,0.005288,-821.095278,0.166667,0
2003-10-22 18:44:13,0.007388,0.005702,0.009213,0.006246,0.009797,0.010421,0.004267,0.005015,-820.928611,0.166667,0
2003-10-22 18:54:13,0.007696,0.005574,0.009696,0.006600,0.009601,0.010248,0.004388,0.005104,-820.761944,0.166667,0
2003-10-22 19:04:13,0.008831,0.006340,0.009480,0.006871,0.009525,0.010665,0.004483,0.005106,-820.595278,0.166667,0
2003-10-22 19:14:13,0.009281,0.007058,0.009172,0.006421,0.009552,0.010539,0.004786,0.005235,-820.428611,0.166667,0
2003-10-22 19:24:13,0.008477,0.006580,0.009692,0.006494,0.009667,0.010898,0.004762,0.005308,-820.261944,0.166667,0
2003-10-22 19:34:13,0.008658,0.006336,0.009601,0.006521,0.010238,0.010661,0.005012,0.005549,-820.095278,0.166667,0
2003-10-22 19:44:13,0.008557,0.006056,0.009186,0.006469,0.009430,0.010760,0.004783,0.005443,-819.928611,0.166667,0
2003-10-22 19:54:13,0.008762,0.006401,0.009577,0.006640,0.010055,0.010203,0.004736,0.005101,-819.761944,0.166667,0
2003-10-22 20:04:13,0.009032,0.006731,0.009211,0.006733,0.010390,0.011271,0.004866,0.005343,-819.595278,0.166667,0
2003-10-22 20:14:13,0.008691,0.006237,0.009357,0.006297,0.009876,0.010531,0.004675,0.005117,-819.428611,0.166667,0
